,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
0,1,삼성전자,"67,800",200,-0.29%,100,"4,047,513","5,969,783",51.44,"15,356,599",11.74,13.92,
1,2,LG에너지솔루션,"439,500","3,000",+0.69%,500,"1,028,430","234,000",3.05,"391,712",110.90,10.68,
2,3,SK하이닉스,"112,000","1,500",-1.32%,"5,000","815,363","728,002",50.11,"4,200,154",8.49,16.84,
3,4,삼성바이오로직스,"809,000","1,000",-0.12%,"2,500","535,275","66,165",10.58,"35,942",137.63,8.21,
4,5,NAVER,"316,500","4,500",-1.40%,100,"519,215","164,049",54.62,"622,895",3.15,106.72,
5,6,삼성전자우,"62,000",0,0.00%,100,"510,190","822,887",73.39,"1,486,111",10.73,N/A,
6,7,카카오,"98,000","1,900",-1.90%,100,"437,345","446,270",28.93,"2,916,274",31.29,17.10,
7,8,삼성SDI,"601,000","18,000",+3.09%,"5,000","413,275","68,765",43.34,"255,552",36.16,8.45,
8,9,현대차,"176,500","2,000",-1.12%,"5,000","377,124","213,668",26.49,"456,867",9.89,6.84,
9,10,LG화학,"525,000","7,000",+1.35%,"5,000","370,610","70,592",48.58,"128,128",11.20,18.47,
10,11,기아,"74,900","1,000",-1.32%,"5,000","303,617","405,363",34.39,"1,129,448",6.38,14.69,
11,12,POSCO홀딩스,"283,000","2,500",+0.89%,"5,000","246,739","87,187",52.69,"181,924",3.73,13.97,
12,13,KB금융,"58,200",0,0.00%,"5,000","239,989","412,352",72.67,"949,082",5.49,9.80,
13,14,셀트리온,"164,000","2,500",-1.50%,"1,000","226,247","137,956",19.14,"286,461",40.09,15.81,
14,15,카카오뱅크,"46,100",100,-0.22%,"5,000","219,048","475,159",16.03,"1,054,504",98.72,4.91,
15,16,신한지주,"40,250",50,-0.12%,"5,000","207,931","516,600",62.06,"876,985",5.35,8.80,
16,17,삼성물산,"109,500",500,+0.46%,100,"204,641","186,887",15.73,"161,072",12.63,5.40,
17,18,LG전자,"122,000","7,500",+6.55%,"5,000","199,650","163,648",27.60,"3,039,375",21.38,6.32,
18,19,현대모비스,"209,000","3,000",-1.42%,"5,000","197,658","94,573",34.17,"206,819",8.42,6.87,
19,20,SK이노베이션,"206,500","5,000",+2.48%,"5,000","190,941","92,466",23.45,"295,125",63.54,1.91,
20,21,SK,"248,000","2,000",+0.81%,200,"183,890","74,149",21.69,"77,854",8.97,10.19,
21,22,카카오페이,"134,000",500,+0.37%,500,"177,107","132,169",42.62,"121,367",-676.77,-2.45,
22,23,한국전력,"22,050",50,+0.23%,"5,000","141,553","641,964",14.72,"1,159,173",-2.66,-7.99,
23,24,하나금융지주,"46,350",350,-0.75%,"5,000","139,162","300,242",71.19,"678,312",3.95,10.86,
24,25,크래프톤,"280,000","4,000",-1.41%,100,"137,402","49,072",29.12,"241,330",24.47,17.86,
25,26,LG생활건강,"868,000","3,000",+0.35%,"5,000","135,566","15,618",40.67,"42,117",18.21,16.65,
26,27,SK텔레콤,"60,500","2,500",+4.31%,100,"132,394","218,833",46.00,"1,377,288",8.84,13.63,
27,28,삼성생명,"64,500",700,-1.07%,500,"129,000","200,000",13.01,"118,213",8.78,4.01,
28,29,두산중공업,"20,700",200,+0.98%,"5,000","127,595","616,402",8.26,"3,116,135",20.18,10.67,
29,30,HMM,"25,950",150,+0.58%,"5,000","126,906","489,039",10.82,"3,849,813",1.89,88.62,
30,31,고려아연,"628,000","2,000",-0.32%,"5,000","118,504","18,870",19.88,"31,366",14.69,11.07,
31,32,삼성전기,"157,500","2,000",+1.29%,"5,000","117,643","74,694",28.76,"351,979",13.70,14.29,
32,33,하이브,"283,500","6,500",-2.24%,500,"117,237","41,353",15.57,"271,041",78.62,6.83,
33,34,LG,"74,500",700,+0.95%,"5,000","117,189","157,301",36.52,"140,147",4.81,12.36,
34,35,KT&G,"81,800",400,+0.49%,"5,000","112,305","137,292",37.20,"242,613",11.49,10.74,
35,36,S-Oil,"99,000","1,500",+1.54%,"2,500","111,457","112,583",79.18,"223,022",8.37,21.76,
36,37,우리금융지주,"15,200",50,+0.33%,"5,000","110,665","728,061",35.22,"1,352,796",4.26,10.59,
37,38,대한항공,"31,650",150,-0.47%,"5,000","110,085","347,821",13.41,"2,200,159",16.61,11.60,
38,39,현대중공업,"124,000","2,500",+2.06%,"5,000","110,079","88,773",3.91,"143,340",-11.63,-14.87,
39,40,SK바이오사이언스,"143,000",500,-0.35%,500,"109,538","76,600",5.16,"177,369",29.62,38.08,
40,41,포스코케미칼,"139,000","15,000",+12.10%,500,"107,674","77,463",6.23,"1,930,222",78.84,7.92,
41,42,삼성에스디에스,"137,000",500,+0.37%,500,"106,008","77,378",12.80,"105,144",17.34,8.80,
42,43,삼성화재,"216,500","3,500",-1.59%,500,"102,567","47,375",48.90,"113,381",9.76,7.09,
43,44,엔씨소프트,"458,000","4,000",-0.87%,500,"100,549","21,954",42.10,"85,809",25.33,12.62,
44,45,KT,"36,300",300,+0.83%,"5,000","94,784","261,112",41.54,"940,740",6.98,9.36,
45,46,SK아이이테크놀로지,"128,500","8,500",+7.08%,"1,000","91,617","71,298",9.61,"389,548",92.25,5.57,
46,47,LG이노텍,"381,500","5,000",+1.33%,"5,000","90,290","23,667",25.76,"236,484",10.16,30.94,
47,48,아모레퍼시픽,"154,000","2,000",-1.28%,500,"90,079","58,493",27.37,"292,604",54.88,4.20,
48,49,넷마블,"103,500",500,-0.48%,100,"88,962","85,954",22.89,"146,951",37.03,4.29,
49,50,기업은행,"11,000",50,+0.46%,"5,000","81,873","744,301",14.39,"929,489",3.63,9.21,
